Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10636970,1,"Friday, January 11, 2013 10:06:23 UTC",63.9428,-148.9750,1.6,0.10,20,"Central Alaska"
nc,71919691,2,"Friday, January 11, 2013 09:53:10 UTC",38.0647,-122.1410,1.3,5.80,28,"San Francisco Bay area, California"
us,b000em8t,7,"Friday, January 11, 2013 09:47:23 UTC",-17.2776,-177.3852,4.8,388.50,310,"Fiji region"
pr,13011003,0,"Friday, January 11, 2013 09:13:21 UTC",19.5795,-64.4359,3.3,7.00, 9,"Virgin Islands region"
nc,71919681,2,"Friday, January 11, 2013 09:12:14 UTC",37.5727,-119.0003,1.7,3.40,33,"Central California"
nc,71919676,2,"Friday, January 11, 2013 09:10:22 UTC",37.5767,-119.0002,1.3,3.80,27,"Central California"
us,b000em8m,9,"Friday, January 11, 2013 09:10:15 UTC",13.3490,92.3832,5.0,34.20,64,"Andaman Islands, India region"
ci,15272145,0,"Friday, January 11, 2013 09:04:36 UTC",32.2308,-115.2420,2.8,41.80,19,"Baja California, Mexico"
ci,15272129,0,"Friday, January 11, 2013 08:37:57 UTC",33.0263,-116.4342,1.3,5.10,47,"Southern California"
nc,71919646,3,"Friday, January 11, 2013 08:09:48 UTC",37.5595,-118.4598,2.5,10.10,35,"Central California"
nc,71919631,2,"Friday, January 11, 2013 07:56:42 UTC",38.8263,-122.7823,1.2,2.30,45,"Northern California"
us,b000em7w,7,"Friday, January 11, 2013 07:47:46 UTC",-9.5025,114.7122,4.4,75.60,51,"south of Bali, Indonesia"
hv,60449196,1,"Friday, January 11, 2013 07:26:47 UTC",19.3658,-155.4107,1.8,13.50,33,"Island of Hawaii, Hawaii"
ci,15272113,0,"Friday, January 11, 2013 07:21:55 UTC",32.7702,-116.7935,1.2,9.00,12,"Southern California"
ci,15272105,0,"Friday, January 11, 2013 06:47:32 UTC",33.3288,-116.3052,1.3,11.50,37,"Southern California"
ak,10636938,1,"Friday, January 11, 2013 06:31:14 UTC",61.5928,-148.3010,1.5,17.80,13,"Southern Alaska"
nc,71919581,0,"Friday, January 11, 2013 05:45:32 UTC",38.8280,-122.8513,1.4,1.90,20,"Northern California"
us,b000em73,9,"Friday, January 11, 2013 05:35:57 UTC",-39.3100,173.6900,4.6,11.00, 0,"off the west coast of the North Island of New Zealand"
ci,15272097,2,"Friday, January 11, 2013 05:33:10 UTC",35.5685,-118.5297,2.0,2.00,59,"Central California"
ak,10636919,2,"Friday, January 11, 2013 05:04:46 UTC",59.5849,-149.8033,2.0,3.00,38,"Kenai Peninsula, Alaska"
ak,10636912,2,"Friday, January 11, 2013 05:01:45 UTC",63.0616,-151.4558,1.2,7.30,16,"Central Alaska"
ak,10636913,2,"Friday, January 11, 2013 05:00:14 UTC",60.0179,-147.4076,1.6,7.30,16,"Southern Alaska"
ci,15272089,2,"Friday, January 11, 2013 04:59:41 UTC",34.1013,-116.7570,1.5,11.80,77,"Southern California"
ak,10636907,1,"Friday, January 11, 2013 04:52:01 UTC",63.3062,-145.3859,2.0,0.60, 9,"Central Alaska"
nc,71919551,1,"Friday, January 11, 2013 04:46:47 UTC",40.2985,-124.3592,2.4,15.40,18,"offshore Northern California"
pr,13011002,0,"Friday, January 11, 2013 04:26:24 UTC",19.6882,-64.3550,2.9,51.00, 5,"Virgin Islands region"
ak,10636895,1,"Friday, January 11, 2013 04:10:05 UTC",65.2463,-150.2832,1.5,1.40, 9,"northern Alaska"
nc,71919531,0,"Friday, January 11, 2013 03:56:09 UTC",38.8418,-122.8303,1.1,2.40,16,"Northern California"
nc,71919521,0,"Friday, January 11, 2013 03:36:38 UTC",38.8432,-122.8288,1.0,1.80,20,"Northern California"
uw,60490732,1,"Friday, January 11, 2013 03:24:19 UTC",43.8103,-121.3897,1.5,0.10,12,"Oregon"
ak,10636885,1,"Friday, January 11, 2013 03:19:24 UTC",63.4985,-151.2720,1.1,6.30, 5,"Central Alaska"
ak,10636872,1,"Friday, January 11, 2013 02:51:40 UTC",64.0388,-149.1746,1.3,3.90, 9,"Central Alaska"
ak,10636871,1,"Friday, January 11, 2013 02:47:05 UTC",61.1353,-146.9852,1.5,10.50, 7,"Southern Alaska"
nc,71919501,2,"Friday, January 11, 2013 02:41:47 UTC",36.4985,-121.0762,1.3,4.70,27,"Central California"
ak,10636512,2,"Friday, January 11, 2013 02:34:35 UTC",60.0369,-152.8841,2.2,113.90,36,"Southern Alaska"
nm,011113a,B,"Friday, January 11, 2013 02:28:46 UTC",37.7136,-88.8972,2.7,16.00,38,"Illinois"
pr,13011001,0,"Friday, January 11, 2013 02:21:26 UTC",19.3003,-64.4197,3.4,79.00, 9,"Virgin Islands region"
ak,10636503,1,"Friday, January 11, 2013 02:17:49 UTC",61.6870,-149.5380,1.7,29.40,24,"Southern Alaska"
nc,71919486,1,"Friday, January 11, 2013 02:01:01 UTC",38.8593,-122.8030,1.6,1.90,26,"Northern California"
ci,15272073,2,"Friday, January 11, 2013 01:47:06 UTC",33.6967,-116.7038,1.1,20.40,41,"Southern California"
ak,10636404,1,"Friday, January 11, 2013 01:43:47 UTC",62.0483,-148.6442,1.4,34.90,11,"Central Alaska"
ci,15272065,2,"Friday, January 11, 2013 01:36:09 UTC",34.3655,-116.4603,1.7,3.50,48,"Southern California"
pr,13011000,0,"Friday, January 11, 2013 01:31:27 UTC",18.9202,-64.8837,3.2,11.00,18,"Virgin Islands region"
ak,10636309,2,"Friday, January 11, 2013 01:22:58 UTC",53.7782,-165.0307,2.2,45.00,16,"Fox Islands, Aleutian Islands, Alaska"
nc,71919471,2,"Friday, January 11, 2013 01:14:00 UTC",36.7552,-120.8772,1.5,2.50,22,"Central California"
ci,15272057,2,"Friday, January 11, 2013 01:10:02 UTC",35.5742,-118.5327,1.3,2.50,19,"Central California"
ak,10636273,1,"Friday, January 11, 2013 00:45:53 UTC",63.3381,-149.3558,1.3,5.30,14,"Central Alaska"
ak,10636270,1,"Friday, January 11, 2013 00:41:25 UTC",60.5177,-151.8291,2.1,16.40, 6,"Kenai Peninsula, Alaska"
hv,60449051,1,"Friday, January 11, 2013 00:36:13 UTC",19.3842,-155.2417,2.0,3.20,14,"Island of Hawaii, Hawaii"
us,b000em0n,7,"Friday, January 11, 2013 00:30:21 UTC",39.6307,25.5102,4.3,5.80,73,"Aegean Sea"
hv,60449046,5,"Friday, January 11, 2013 00:26:36 UTC",19.2423,-156.0513,3.1,47.40,60,"Hawaii region, Hawaii"
nc,71919441,0,"Friday, January 11, 2013 00:26:06 UTC",38.8127,-122.8258,1.0,2.50,18,"Northern California"
nc,71919436,2,"Friday, January 11, 2013 00:19:31 UTC",37.1265,-121.5265,1.2,7.40,27,"Northern California"
ak,10636258,1,"Friday, January 11, 2013 00:01:41 UTC",65.0083,-147.3248,1.3,6.40, 8,"northern Alaska"
nc,71919416,2,"Thursday, January 10, 2013 23:50:56 UTC",35.7860,-120.3217,1.3,4.20,51,"Central California"
us,b000elzd,4,"Thursday, January 10, 2013 23:48:03 UTC",28.9183,67.5354,4.2,10.00,21,"Pakistan"
nn,00399345,9,"Thursday, January 10, 2013 23:46:25 UTC",37.3640,-117.1411,1.6,0.00,15,"Nevada"
pr,13010019,0,"Thursday, January 10, 2013 23:42:47 UTC",19.6543,-64.3281,3.3,58.00, 7,"Virgin Islands region"
ak,10636246,1,"Thursday, January 10, 2013 23:41:57 UTC",63.2577,-150.4425,1.3,131.30,10,"Central Alaska"
ak,10636244,2,"Thursday, January 10, 2013 23:38:54 UTC",63.5421,-150.1679,1.3,134.90,14,"Central Alaska"
pr,13010021,0,"Thursday, January 10, 2013 23:35:07 UTC",18.3558,-63.7252,3.3,84.00,10,"Anguilla region, Leeward Islands"
hv,60449011,1,"Thursday, January 10, 2013 23:19:35 UTC",19.4422,-155.4382,2.0,10.60,22,"Island of Hawaii, Hawaii"
nn,00399336,9,"Thursday, January 10, 2013 23:02:33 UTC",40.7450,-118.7925,1.8,22.80, 5,"Nevada"
ci,15272041,2,"Thursday, January 10, 2013 22:57:19 UTC",32.6275,-116.7225,1.8,20.00,35,"Southern California"
ak,10636222,1,"Thursday, January 10, 2013 22:54:32 UTC",61.6069,-151.8689,2.0,97.70,19,"Southern Alaska"
nc,71919376,2,"Thursday, January 10, 2013 22:46:55 UTC",37.5013,-118.9933,1.2,7.10,23,"Central California"
ak,10636209,1,"Thursday, January 10, 2013 22:26:04 UTC",60.8076,-152.3657,2.2,109.30,10,"Southern Alaska"
hv,60449006,2,"Thursday, January 10, 2013 22:14:28 UTC",19.3905,-155.2507,2.4,3.40,23,"Island of Hawaii, Hawaii"
ak,10636202,1,"Thursday, January 10, 2013 22:10:57 UTC",62.0294,-148.8900,1.3,38.60, 5,"Central Alaska"
nc,71919351,1,"Thursday, January 10, 2013 22:05:31 UTC",38.7945,-122.8080,1.4,3.30,21,"Northern California"
us,b000elxf,6,"Thursday, January 10, 2013 21:57:19 UTC",-16.5607,175.2498,5.0,66.20,177,"Fiji region"
pr,13010030,0,"Thursday, January 10, 2013 21:56:32 UTC",19.5240,-64.3052,3.3,82.00, 6,"Virgin Islands region"
ak,10636182,1,"Thursday, January 10, 2013 21:36:51 UTC",63.9760,-148.7766,1.7,0.00,19,"Central Alaska"
pr,13010018,0,"Thursday, January 10, 2013 21:27:34 UTC",19.6457,-64.4141,3.3,20.00,10,"Virgin Islands region"
us,b000elwi,5,"Thursday, January 10, 2013 21:26:20 UTC",37.3452,143.6737,4.5,34.50,35,"off the east coast of Honshu, Japan"
ak,10636013,1,"Thursday, January 10, 2013 21:17:52 UTC",61.2209,-152.1704,2.6,103.30,41,"Southern Alaska"
pr,13010029,0,"Thursday, January 10, 2013 21:11:09 UTC",19.5317,-64.4097,3.1,10.00, 5,"Virgin Islands region"
nc,71919276,2,"Thursday, January 10, 2013 21:06:54 UTC",37.5768,-119.0035,1.5,4.70,15,"Central California"
nc,71919271,0,"Thursday, January 10, 2013 20:50:00 UTC",38.8328,-122.7913,1.0,2.50,15,"Northern California"
ak,10636004,1,"Thursday, January 10, 2013 20:47:47 UTC",63.0613,-151.5307,1.0,10.80, 5,"Central Alaska"
pr,13010027,0,"Thursday, January 10, 2013 20:35:10 UTC",19.5121,-64.2770,2.8,58.00, 4,"Virgin Islands region"
pr,13010020,0,"Thursday, January 10, 2013 20:27:56 UTC",19.4913,-64.3028,3.4,67.00, 9,"Virgin Islands region"
nc,71919256,2,"Thursday, January 10, 2013 20:23:54 UTC",37.5717,-119.0058,1.4,5.50,14,"Central California"
ak,10635982,1,"Thursday, January 10, 2013 19:57:16 UTC",67.2067,-145.7360,3.2,2.80,20,"northern Alaska"
ak,10635979,2,"Thursday, January 10, 2013 19:50:34 UTC",60.8696,-151.5188,1.4,63.40,13,"Kenai Peninsula, Alaska"
nn,00399274,9,"Thursday, January 10, 2013 19:35:04 UTC",39.3289,-117.8776,1.6,4.00, 8,"Nevada"
ci,15272017,2,"Thursday, January 10, 2013 19:32:58 UTC",35.0458,-118.3173,1.3,0.00, 9,"Southern California"
pr,13010023,0,"Thursday, January 10, 2013 19:14:43 UTC",19.4876,-64.3900,3.2,9.00, 3,"Virgin Islands region"
pr,13010022,0,"Thursday, January 10, 2013 19:10:23 UTC",19.3561,-64.0562,2.6,97.00, 3,"Virgin Islands region"
ak,10635958,2,"Thursday, January 10, 2013 19:06:41 UTC",51.3287,-178.4898,2.3,25.60,14,"Andreanof Islands, Aleutian Islands, Alaska"
pr,13010017,0,"Thursday, January 10, 2013 19:03:08 UTC",19.7401,-64.3876,3.2,12.00, 6,"Virgin Islands region"
mb,13428844,2,"Thursday, January 10, 2013 19:02:32 UTC",46.0500,-111.4178,1.5,13.50,12,"western Montana"
ak,10635950,1,"Thursday, January 10, 2013 19:00:43 UTC",60.7913,-147.2128,2.3,14.50,12,"Southern Alaska"
ak,10635941,1,"Thursday, January 10, 2013 18:40:49 UTC",63.4285,-147.5692,1.2,17.60, 6,"Central Alaska"
nc,71919306,2,"Thursday, January 10, 2013 18:35:00 UTC",37.6628,-119.3830,1.0,7.50,12,"Central California"
ci,15271985,2,"Thursday, January 10, 2013 18:25:28 UTC",33.9160,-116.7883,1.5,17.90,69,"Southern California"
pr,13010028,0,"Thursday, January 10, 2013 18:12:51 UTC",19.3351,-64.2400,2.7,97.00, 3,"Virgin Islands region"
ak,10635929,1,"Thursday, January 10, 2013 18:09:28 UTC",62.5456,-151.5029,2.5,120.00,35,"Central Alaska"
pr,13010026,0,"Thursday, January 10, 2013 18:08:09 UTC",18.9330,-65.0420,2.8,42.00, 4,"Virgin Islands region"
hv,60448956,2,"Thursday, January 10, 2013 18:04:43 UTC",19.3633,-155.2255,2.1,3.10,17,"Island of Hawaii, Hawaii"
pr,13010016,0,"Thursday, January 10, 2013 17:30:26 UTC",19.6380,-64.4233,3.1,28.00, 9,"Virgin Islands region"
ci,15271961,2,"Thursday, January 10, 2013 17:24:52 UTC",33.8888,-116.8765,1.5,16.40,61,"Southern California"
ak,10635910,2,"Thursday, January 10, 2013 17:21:01 UTC",52.2296,-170.4509,4.6,13.20,27,"Fox Islands, Aleutian Islands, Alaska"
ak,10635903,2,"Thursday, January 10, 2013 17:02:39 UTC",62.6865,-148.7222,1.2,55.10,23,"Central Alaska"
pr,13010025,0,"Thursday, January 10, 2013 16:51:25 UTC",19.4165,-64.3917,3.2,76.00, 3,"Virgin Islands region"
ci,15271953,4,"Thursday, January 10, 2013 16:49:51 UTC",32.8532,-116.2683,1.3,14.00,23,"Southern California"
nc,71919111,2,"Thursday, January 10, 2013 16:45:26 UTC",37.7493,-122.1572,1.4,8.60,12,"San Francisco Bay area, California"
pr,13010024,0,"Thursday, January 10, 2013 16:41:30 UTC",19.4717,-64.2120,3.2,76.00, 5,"Virgin Islands region"
ak,10635878,1,"Thursday, January 10, 2013 16:33:58 UTC",60.9778,-151.2386,2.3,21.40,31,"Kenai Peninsula, Alaska"
pr,13010015,0,"Thursday, January 10, 2013 16:33:37 UTC",19.6709,-64.3455,4.9,24.00,24,"Virgin Islands region"
us,b000elnj,6,"Thursday, January 10, 2013 16:26:27 UTC",-10.8874,161.9623,5.1,57.00,71,"Solomon Islands"
ak,10635868,1,"Thursday, January 10, 2013 16:16:31 UTC",59.9094,-150.7843,1.3,0.00, 6,"Kenai Peninsula, Alaska"
nc,71919066,3,"Thursday, January 10, 2013 15:55:04 UTC",40.3197,-123.7495,2.8,22.70,30,"Northern California"
pr,13010014,0,"Thursday, January 10, 2013 15:53:04 UTC",18.9876,-65.1074,3.2,25.00,12,"Virgin Islands region"
ci,15271945,2,"Thursday, January 10, 2013 15:47:03 UTC",35.1420,-118.7213,2.3,2.30,48,"Central California"
ak,10635860,1,"Thursday, January 10, 2013 15:41:27 UTC",59.9338,-140.1545,2.8,8.70,15,"Southeastern Alaska"
mb,13902693,2,"Thursday, January 10, 2013 15:39:39 UTC",47.9083,-114.1295,1.7,6.90,14,"western Montana"
ak,10635854,1,"Thursday, January 10, 2013 15:37:03 UTC",59.9720,-140.0961,3.3,6.50,23,"Southeastern Alaska"
hv,60448921,1,"Thursday, January 10, 2013 15:25:30 UTC",19.1385,-155.2315,2.0,22.80,35,"Island of Hawaii, Hawaii"
nc,71919046,1,"Thursday, January 10, 2013 15:25:29 UTC",38.7902,-122.7610,1.6,2.10,31,"Northern California"
ci,15271929,2,"Thursday, January 10, 2013 14:35:40 UTC",34.1317,-117.0135,2.2,12.30,117,"Southern California"
ci,15271921,2,"Thursday, January 10, 2013 14:06:01 UTC",33.2753,-116.7833,1.2,13.40,53,"Southern California"
nc,71918991,2,"Thursday, January 10, 2013 14:03:29 UTC",36.7845,-121.0873,1.0,5.40,19,"Central California"
us,b000eljx,C,"Thursday, January 10, 2013 13:52:20 UTC",16.7254,-85.9490,4.5,35.90,40,"offshore Honduras"
pr,13010013,0,"Thursday, January 10, 2013 13:52:10 UTC",19.2075,-67.9192,2.9,12.00, 3,"Dominican Republic region"
pr,13010012,0,"Thursday, January 10, 2013 13:50:49 UTC",18.1116,-68.3410,3.1,124.00, 5,"Mona Passage, Dominican Republic"
pr,13010011,0,"Thursday, January 10, 2013 13:48:01 UTC",19.0692,-68.0988,3.1,103.00, 8,"Dominican Republic region"
us,b000elju,7,"Thursday, January 10, 2013 13:47:03 UTC",4.7537,95.1327,5.8,35.10,132,"northern Sumatra, Indonesia"
ak,10635830,1,"Thursday, January 10, 2013 13:40:38 UTC",61.0761,-148.1805,1.4,29.60, 8,"Southern Alaska"
ak,10635817,1,"Thursday, January 10, 2013 13:23:11 UTC",61.9212,-151.5984,2.5,84.70,38,"Southern Alaska"
ak,10635810,2,"Thursday, January 10, 2013 13:18:04 UTC",58.4197,-156.5708,3.1,201.50,64,"Alaska Peninsula"
ak,10635803,2,"Thursday, January 10, 2013 12:52:24 UTC",52.2391,-169.9235,3.2,9.30, 7,"Fox Islands, Aleutian Islands, Alaska"
ak,10635802,2,"Thursday, January 10, 2013 12:49:50 UTC",51.2262,-178.0385,1.9,18.20,10,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71918966,2,"Thursday, January 10, 2013 12:48:56 UTC",36.4978,-121.0758,1.5,4.20,30,"Central California"
us,b000elj7,9,"Thursday, January 10, 2013 12:48:21 UTC",37.5607,141.2686,4.9,53.30,253,"near the east coast of Honshu, Japan"
ci,15271889,2,"Thursday, January 10, 2013 12:25:22 UTC",33.9593,-117.0578,1.9,18.80,120,"Southern California"
nc,71918951,2,"Thursday, January 10, 2013 12:09:49 UTC",36.4992,-121.0738,1.2,4.50,23,"Central California"
nc,71918946,2,"Thursday, January 10, 2013 12:06:06 UTC",37.5763,-119.0025,1.5,4.00,15,"Central California"
nc,71918936,4,"Thursday, January 10, 2013 12:04:11 UTC",36.4977,-121.0748,1.2,4.70,22,"Central California"
ak,10635788,2,"Thursday, January 10, 2013 11:57:25 UTC",59.9363,-153.4649,2.5,121.20,62,"Southern Alaska"
nc,71918931,2,"Thursday, January 10, 2013 11:42:28 UTC",39.2678,-123.2215,2.1,5.40,29,"Northern California"
ak,10635783,1,"Thursday, January 10, 2013 11:30:55 UTC",62.2814,-147.5222,1.2,19.50, 9,"Central Alaska"
ak,10635781,1,"Thursday, January 10, 2013 11:20:30 UTC",59.1075,-154.3354,2.2,40.10, 8,"Southern Alaska"
ak,10635780,2,"Thursday, January 10, 2013 11:17:26 UTC",60.1026,-149.4182,1.7,35.50,20,"Kenai Peninsula, Alaska"
nc,71918911,2,"Thursday, January 10, 2013 10:57:31 UTC",36.7372,-121.3980,1.0,8.80,18,"Central California"
nc,71918906,2,"Thursday, January 10, 2013 10:47:38 UTC",37.5708,-118.8343,1.2,6.80,29,"Central California"
nc,71918896,0,"Thursday, January 10, 2013 10:44:16 UTC",38.8395,-122.8282,1.1,2.40,21,"Northern California"
ak,10635774,2,"Thursday, January 10, 2013 10:36:59 UTC",49.6911,-178.6317,3.1,38.70,14,"south of the Aleutian Islands"
ci,15271873,2,"Thursday, January 10, 2013 10:25:05 UTC",33.0655,-115.6203,1.4,7.30,44,"Southern California"
ak,10635770,1,"Thursday, January 10, 2013 10:18:53 UTC",61.2481,-151.2330,1.6,67.40,15,"Southern Alaska"
pr,13010010,0,"Thursday, January 10, 2013 10:09:48 UTC",19.9740,-64.2201,3.2,10.00, 9,"north of the Virgin Islands"
ak,10635760,1,"Thursday, January 10, 2013 09:48:31 UTC",65.4808,-149.9804,1.6,11.30,11,"northern Alaska"
nc,71918881,2,"Thursday, January 10, 2013 09:48:22 UTC",37.1397,-121.5740,1.3,4.70,35,"Northern California"
nc,71918876,3,"Thursday, January 10, 2013 09:45:40 UTC",35.7805,-120.3255,1.5,4.60,67,"Central California"
nc,71918856,2,"Thursday, January 10, 2013 09:25:25 UTC",37.5700,-119.0018,2.0,3.60,22,"Central California"
ak,10635745,2,"Thursday, January 10, 2013 09:19:03 UTC",61.5284,-147.8058,3.5,18.30,76,"Southern Alaska"
hv,60448801,2,"Thursday, January 10, 2013 09:11:31 UTC",19.3835,-155.2825,2.4,3.30,23,"Island of Hawaii, Hawaii"
hv,60448796,1,"Thursday, January 10, 2013 08:49:37 UTC",19.5123,-155.8332,2.0,9.40,11,"Island of Hawaii, Hawaii"
ci,15271849,2,"Thursday, January 10, 2013 08:42:24 UTC",33.9013,-117.7990,1.3,8.90,33,"Greater Los Angeles area, California"
ci,15271841,2,"Thursday, January 10, 2013 08:29:11 UTC",33.8143,-116.8057,1.0,17.90,32,"Southern California"
nc,71918826,2,"Thursday, January 10, 2013 08:21:38 UTC",38.8343,-122.8005,1.3,2.40,22,"Northern California"
nc,71920131,2,"Thursday, January 10, 2013 07:47:44 UTC",40.5790,-121.8570,1.0,13.20,14,"Northern California"
pr,13010009,0,"Thursday, January 10, 2013 07:43:31 UTC",19.2506,-64.8295,3.3,69.00,10,"Virgin Islands region"
nc,71918776,3,"Thursday, January 10, 2013 07:42:40 UTC",38.8408,-122.8252,2.1,2.30,73,"Northern California"
ak,10635723,1,"Thursday, January 10, 2013 07:03:30 UTC",60.2019,-151.0547,1.5,52.80, 7,"Kenai Peninsula, Alaska"
ci,15271817,2,"Thursday, January 10, 2013 07:01:11 UTC",32.9975,-116.2403,1.1,6.00,45,"Southern California"
nc,71918731,2,"Thursday, January 10, 2013 06:54:34 UTC",37.5192,-118.7855,1.1,7.50,22,"Central California"
ak,10635713,1,"Thursday, January 10, 2013 06:47:14 UTC",59.7685,-152.9612,2.9,111.00,50,"Southern Alaska"
nc,71918701,2,"Thursday, January 10, 2013 06:09:35 UTC",37.3605,-120.0077,2.4,22.40,16,"Central California"
nc,71918696,0,"Thursday, January 10, 2013 06:00:59 UTC",38.8338,-122.8035,1.5,2.10,15,"Northern California"
ak,10635702,1,"Thursday, January 10, 2013 05:56:25 UTC",62.1874,-147.5113,1.2,30.40,13,"Central Alaska"
nn,00399230,9,"Thursday, January 10, 2013 05:25:17 UTC",37.2456,-114.3786,2.1,4.40, 6,"Nevada"
ak,10635699,2,"Thursday, January 10, 2013 05:24:01 UTC",58.0668,-151.4714,2.5,47.40,20,"Kodiak Island region, Alaska"
ci,15271801,2,"Thursday, January 10, 2013 05:13:45 UTC",36.0803,-117.8455,1.8,1.90,43,"Central California"
us,b000elf6,6,"Thursday, January 10, 2013 04:58:58 UTC",-4.9537,152.7111,5.1,53.80,68,"New Britain region, Papua New Guinea"
pr,13010008,0,"Thursday, January 10, 2013 04:57:03 UTC",19.1362,-66.5146,3.0,19.00,12,"Puerto Rico region"
ci,15271793,2,"Thursday, January 10, 2013 04:51:17 UTC",32.6515,-115.9297,1.5,9.40,41,"Southern California"
ak,10635683,1,"Thursday, January 10, 2013 04:45:45 UTC",62.2261,-148.6179,2.2,13.10,23,"Central Alaska"
nc,71918656,2,"Thursday, January 10, 2013 04:31:07 UTC",35.1118,-120.8293,1.1,9.70,15,"offshore Central California"
ak,10635674,1,"Thursday, January 10, 2013 04:28:57 UTC",63.0647,-150.6175,2.1,118.30,30,"Central Alaska"
us,b000elev,5,"Thursday, January 10, 2013 04:28:43 UTC",32.3640,141.5995,4.7,53.60,102,"Izu Islands, Japan region"
ak,10635672,1,"Thursday, January 10, 2013 04:27:33 UTC",63.1169,-150.4217,1.7,90.10,15,"Central Alaska"
nc,71918651,0,"Thursday, January 10, 2013 04:25:10 UTC",38.8447,-122.8287,1.0,1.90,20,"Northern California"
pr,13010007,0,"Thursday, January 10, 2013 04:23:04 UTC",18.8817,-64.3910,2.4,38.00, 7,"Virgin Islands region"
nc,71918646,2,"Thursday, January 10, 2013 04:21:08 UTC",37.5700,-118.8348,1.1,6.60,27,"Central California"
nc,71918636,2,"Thursday, January 10, 2013 04:10:13 UTC",38.9485,-122.7510,1.3,1.50,26,"Northern California"
uu,60010022,4,"Thursday, January 10, 2013 04:03:27 UTC",39.1493,-111.6608,1.8,17.20,14,"Utah"
ci,15271777,2,"Thursday, January 10, 2013 03:49:42 UTC",33.9535,-116.7275,1.6,17.50,68,"Southern California"
ak,10635661,1,"Thursday, January 10, 2013 03:48:21 UTC",64.7732,-149.0996,1.2,14.60, 7,"Central Alaska"
nc,71918606,0,"Thursday, January 10, 2013 03:39:17 UTC",38.8335,-122.8010,1.0,2.20,15,"Northern California"
ak,10635655,2,"Thursday, January 10, 2013 03:34:24 UTC",61.3518,-146.5775,1.4,5.60,15,"Southern Alaska"
ak,10635653,2,"Thursday, January 10, 2013 03:33:46 UTC",63.6430,-149.5017,1.2,123.90,12,"Central Alaska"
nc,71918581,3,"Thursday, January 10, 2013 03:21:23 UTC",36.2863,-120.8495,1.8,7.80,58,"Central California"
nc,71918576,1,"Thursday, January 10, 2013 03:12:29 UTC",38.8053,-122.7893,1.7,1.80,31,"Northern California"
pr,13010006,0,"Thursday, January 10, 2013 03:10:28 UTC",17.9792,-65.4024,2.7,17.00, 5,"Puerto Rico region"
us,b000eldf,5,"Thursday, January 10, 2013 02:54:26 UTC",-5.4345,151.7122,4.9,60.10,64,"New Britain region, Papua New Guinea"
nc,71918561,0,"Thursday, January 10, 2013 02:45:19 UTC",38.8373,-122.7988,1.0,2.00,12,"Northern California"
nc,71918556,0,"Thursday, January 10, 2013 02:44:54 UTC",38.8358,-122.8013,1.9,2.30,20,"Northern California"
nc,71918541,1,"Thursday, January 10, 2013 02:29:21 UTC",38.8413,-122.8265,1.3,2.80,24,"Northern California"
ci,15271761,2,"Thursday, January 10, 2013 02:26:50 UTC",35.5690,-118.5343,1.9,2.30,43,"Central California"
pr,13010004,0,"Thursday, January 10, 2013 02:17:36 UTC",19.1198,-66.4978,3.1,32.00,12,"Puerto Rico region"
pr,13010003,0,"Thursday, January 10, 2013 02:16:31 UTC",19.1028,-66.4830,3.1,32.00,16,"Puerto Rico region"
ak,10635624,1,"Thursday, January 10, 2013 02:11:05 UTC",63.5379,-151.0391,1.3,7.00, 7,"Central Alaska"
nc,71918511,2,"Thursday, January 10, 2013 01:48:51 UTC",36.2890,-120.8478,1.3,7.90,30,"Central California"
ci,15271729,2,"Thursday, January 10, 2013 01:33:55 UTC",33.0270,-116.4260,1.2,5.10,51,"Southern California"
nc,71918501,0,"Thursday, January 10, 2013 01:11:08 UTC",38.8338,-122.8522,1.7,6.10, 6,"Northern California"
pr,13010005,0,"Thursday, January 10, 2013 01:07:27 UTC",19.1296,-66.5053,2.8,29.00,13,"Puerto Rico region"
nn,00399224,9,"Thursday, January 10, 2013 00:53:14 UTC",37.8603,-116.0624,2.1,12.30,10,"Nevada"
pr,13010002,0,"Thursday, January 10, 2013 00:45:43 UTC",19.1263,-66.5087,2.9,34.00,11,"Puerto Rico region"
ci,15271721,2,"Thursday, January 10, 2013 00:43:10 UTC",32.5373,-115.6152,2.1,12.70,29,"Baja California, Mexico"
pr,13010001,0,"Thursday, January 10, 2013 00:14:19 UTC",19.1455,-66.5160,2.9,23.00,10,"Puerto Rico region"
ak,10635586,2,"Thursday, January 10, 2013 00:08:00 UTC",65.0053,-147.3252,1.3,0.00,12,"northern Alaska"
pr,13010000,0,"Thursday, January 10, 2013 00:06:30 UTC",19.1184,-66.4890,3.0,44.00,14,"Puerto Rico region"
nc,71918476,7,"Wednesday, January  9, 2013 23:59:44 UTC",40.2918,-124.5680,2.6,18.90,32,"offshore Northern California"
ak,10635582,2,"Wednesday, January  9, 2013 23:57:10 UTC",63.4134,-150.0873,1.1,8.60,16,"Central Alaska"
ak,10635578,2,"Wednesday, January  9, 2013 23:51:15 UTC",62.0719,-145.1832,1.7,17.80,22,"Central Alaska"
nc,71918466,4,"Wednesday, January  9, 2013 23:48:17 UTC",37.5810,-118.9993,1.0,3.50,21,"Central California"
pr,13009003,0,"Wednesday, January  9, 2013 23:44:45 UTC",19.9619,-64.2350,3.4,32.00,14,"north of the Virgin Islands"
